name,price,original_price,status,landing_category,cpu,ram,ssd,gpu,screen_size,resolution,refresh_rate,battery,brand,sku,url
"Laptop Acer Aspire Go 15 AG15 72P 54GY (Intel Core 5/ 16GB/ 512GB/ Intel UHD/ 15.6"" FHD/ Win 11)",19490000,23990000,Còn hàng,Laptop Văn Phòng,Intel® Core™ 5 120U (10 lõi / 12 luồng / 3.8 GHz - 5 GHz / 12 MB Intel Smart Cache),16 GB,512 GB,Intel® UHD Graphics,Full HD (1920 x 1080) IPS;Acer ComfyView;SlimBezel,,60 Hz,,ACER,LAP-ACER-ASPIRE-GO-AG15-72P-54GY,https://gearvn.com/products/laptop-acer-aspire-go-15-ai-ag15-72p-54gy
"Laptop gaming Acer Nitro ProPanel ANV15-52-50VA (Core 5-210H/ RTX 3050/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",27890000,29990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core 5 210H (8 lõi / 12 luồng, Efficient-core Max Turbo Frequency :3.6 GHz, Max Turbo Frequency : 4.8GHz, 12 MB Intel Smart Cache)",16 GB,512 GB,NVIDIA GeForce RTX 3050 6 GB GDDR6 VRAM,15.6 inch,FullHD (1920 x 1080),180 Hz,57 Wh 4-cell Li-ion batter,ACER,LAP-ACER-NITRO-V-ANV15-52-50VA,https://gearvn.com/products/laptop-gaming-acer-nitro-v-15-propanel-anv15-52-50va
Laptop gaming Acer Nitro Lite NL16-71G-71FN (I7-13620H/ RTX 4050/ 16GB/ 512GB/ Win 11),29290000,31990000,Hết hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core i7-13620H (10 nhân, 16 luồng, Turbo tối đa Efficient-core: 3.6 GHz, Performance-core: 4.9 GHz, 24 MB Smart Cache)",16 GB,512 GB,"NVIDIA GeForce RTX 4050 6 GB GDDR6 VRAM, hỗ trợ 2560 NVIDIA CUDA Cores",16 inch,1920 x 1200 Pixels,180 Hz,"53Wh 3-cell Li-ion battery, 100W TypeC adapter",ACER,LAP-ACER-NITRO-LITE-NL16-71G-71FN,https://gearvn.com/products/laptop-gaming-acer-nitro-lite-nl16-71g-71fn
"Laptop gaming Acer Nitro V15 ANV15-41-R732 (Ryzen 5 6600H/ RTX 4050/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",25490000,30990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","AMD Ryzen 5 6600H (6 lõi / 12 luồng, 3.3 GHz - 4.5 GHz / 3 MB L2 cache, up to 16 MB L3 cache), 194 TOPs",16 GB,512 GB,"NVIDIA GeForce RTX 4050 6 GB GDDR6 VRAM, hỗ trợ 2560 NVIDIA CUDA Cores",15.6 inch,Full HD (1920 x 1080),165 Hz,57Whr 4-cell;135W 5.5PHY Adapter,ACER,LAP-ACER-NITRO-V-ANV15-41-R732,https://gearvn.com/products/laptop-gaming-acer-nitro-propanel-anv15-41-r732
"Laptop Acer Swift Go 14 AI SFG14-75-5264 (Ultra 5-226V/ 16GB/ 512GB/ 14.0"" FHD+ OLED/ Win 11)",27990000,30990000,Còn hàng,Laptop Văn Phòng,Intel Core Ultra 5 226V,16 GB,512 GB,Intel Arc,OLED (2.8K / 4K / General),,,,ACER,LAP-ACER-SWIFT-GO-14-AI-SFG14-75-5264,https://gearvn.com/products/laptop-acer-swift-go-14-ai-sfg14-75-5264
"Laptop Asus ExpertBook P1403CVA-C5H16-50W (Core 5-210H/ 16GB/ 512GB/ 14"" FHD/ Win 11)",23380000,27990000,Còn hàng,Laptop Văn Phòng,"Intel® Core™ 5 Processor 210H (2.7 GHz up to 5.0 GHz, 24MB Cache, 10 nhân, 12 luồng)",16 GB,512 GB,Intel® UHD Graphics,IPS / FHD,,,,ASUS,LAP-ASUS-EXPERT-P1403CVA-C5H16-50W,https://gearvn.com/products/laptop-asus-expertbook-p1403cva-c5h16-50w
"Laptop gaming Acer Nitro Lite 16 NL16 71G 56WQ (I5-13420H/ RTX 3050/ 16GB/ 512GB/ 16"" FHD+/ Win 11)",24490000,28190000,Hết hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core i5-13420H (8 lõi / 12 luồng, Tần số Turbo tối đa của E-core: 3.4 GHz, Tần số Turbo tối đa của P-core: 4.6 GHz, 12 MB Intel Smart Cache)",16 GB,512 GB,"NVIDIA GeForce RTX 3050 với 6 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2560 lõi NVIDIA CUDA",16 inch,Full HD (1920 x 1200),165 Hz,,ACER,LAP-ACER-NITRO-LITE-16-NL16-71G-56WQ,https://gearvn.com/products/laptop-gaming-acer-nitro-lite-16-nl16-71g-56wq
Laptop gaming Acer Nitro ProPanel ANV15-52-72BM (I7-13620H/ RTX 5050/ 16GB/ 512GB/ Win 11),34890000,39990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core i7-13620H (10 lõi / 16 luồng, Tần số Turbo tối đa của E-core: 3.6 GHz, Tần số Turbo tối đa của P-core: 4.9 GHz, 24 MB Intel Smart Cache)",16 GB,512 GB,NVIDIA GeForce RTX 5050,15.6 inch,"15.6"" FHD (1920x1200) IPS, 180Hz, 300nits, 100% sRGB, Acer ComfyView™, LED-backlit TFT LCD, Wide viewing angle up to 170 degrees",180 Hz,76Wh 4-cell Li-ion battery 135W 5.5PHY Adapter,ACER,LAP-ACER-NITRO-V-PRO-ANV15-52-72BM,https://gearvn.com/products/laptop-gaming-acer-nitro-v-propanel-anv15-52-72bm
"Laptop gaming Lenovo LOQ 15IRX9 83DV01ALVN (I7-13650HX/ RTX 4050 6GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",42690000,45990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core i7-13650HX, 14 lõi (6P + 8E) / 20 luồng, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",16 GB,512 GB,"NVIDIA GeForce RTX 4050 6GB GDDR6, Boost Clock 2370MHz, TGP 105W, 194 AI TOPS",15 inch,FHD (1920x1080),144 Hz,3 Cells,LENOVO,LAP-LEN-LOQ-15IRX9-83DV01ALVN,https://gearvn.com/products/laptop-gaming-lenovo-loq-15irx9-83dv01alvn
"Laptop gaming MSI Katana 15 B13VEK-2440VN (I7-13620H/ RTX 4050/ 16GB/ 1TB/ 15.6"" FHD/ Win 11)",34890000,35990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core i7-13620H (Turbo Boost up to 4.9 GHz / 24MB / 10 nhân, 16 luồng)",16 GB,1024 GB,Geforce RTX 4050 6GB,15.6 inch,FHD (1920 x 1080),144 Hz,3 Cell 53.5 Battery (Whr),MSI,LAP-MSI-KATANA-15-B13VEK-2440VN,https://gearvn.com/products/laptop-gaming-msi-katana-15-b13vek-2440vn
Laptop MSI Prestige 13 AI Evo A1MG 062VN,32990000,39990000,Hết hàng,Laptop Văn Phòng,Intel Core Ultra 7 155H,32 GB,1024 GB,Intel Arc,OLED (2.8K / 4K / General),,,,MSI,LAP-MSI-PRES-13-AI-EVO-A1MG-062VN,https://gearvn.com/products/laptop-msi-prestige-13-ai-evo-a1mg-062vn
Laptop Acer Aspire Lite 15 AL15-48P-R5MN (Ryzen 5 5625U/ 8GB/ 512GB/ Win 11),16490000,16990000,Còn hàng,Laptop Văn Phòng,"AMD Ryzen 5-5625U (6 lõi / 12 luồng, 2.3 GHz - 4.3 GHz, 16 MB Intel Smart Cache)",8 GB,512 GB,AMD Radeon Graphics,Tấm nền IPS,,60 Hz,,ACER,LAP-ACER-ASPIRE-LITE-AL15-48P-R5MN,https://gearvn.com/products/laptop-acer-aspire-lite-15-al15-48p-r5mn
"Laptop gaming Acer Aspire 7 A715-59G-59RD (Core 5-210H/ RTX 3050 4GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",25890000,27990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming",Core 5-210H,4 GB,4GB,RTX 3050,15.6 inch,,,,ACER,LAP-ACER-ASPIRE-7-A715-59G-59RD,https://gearvn.com/products/laptop-gaming-acer-aspire-7-a715-59g-59rd
"Laptop gaming Acer Aspire 7 A715-59G-53GZ (Core 5-210H/ RTX 3050 6GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",25990000,26990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core 5-210H (8 lõi / 12 luồng, 2.2 GHz - 4.8 GHz, 12 MB Intel Smart Cache)",16 GB,512 GB,NVIDIA GeForce RTX 3050 6 GB GDDR6;2560 NVIDIA CUDA Cores,15.6 inch,Full HD (1920 x 1080);Màn hình LCD TFT đèn nền LED Acer ComfyView;Góc nhìn rộng,144 Hz,54.8Wh 4-cell Li-ion battery 150W adapter,ACER,LAP-ACER-ASPIRE-7-A715-59G-53GZ,https://gearvn.com/products/laptop-gaming-acer-aspire-7-a715-59g-53gz
"Laptop gaming Acer Nitro Lite 16 NL16-71G-71UJ (I7-13620H/ RTX 3050 6GB/ 16GB/ 512GB/ 16.0"" FHD+/ Win 11)",26990000,30090000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming",Intel Core i7 Raptor Lake - 13620H,16 GB,512 GB,NVIDIA GeForce RTX 3050 6GB GDDR6,16 inch,Full HD (1920x1080),165 Hz,3,ACER,LAP-ACER-NITRO-LITE-16-NL16-71G-71UJ,https://gearvn.com/products/laptop-gaming-acer-nitro-lite-16-nl16-71g-71uj
"Laptop gaming Asus V16 V3607VH-RP084W (Core 5-210H/ RTX 5050 8GB/ 16GB/ 512GB/ 16"" WUXGA/ Win 11)",27540000,30300000,Hết hàng,"Laptop Văn Phòng, Laptop Gaming",Intel Core 5 210H (8 lõi / 12 luồng / 2.2 GHz - 4.8 GHz / 12 MB Cache),16 GB,512 GB,NVIDIA GeForce RTX 5050 8GB GDDR7,16 inch,WUXGA (1920 x 1200),144 Hz,63WHrs 3-cell Li-ion; 150W adapter,ASUS,LAP-ASUS-V16-V3607VH-RP084W,https://gearvn.com/products/laptop-gaming-asus-gaming-v16-v3607vh-rp084w
Laptop gaming Acer Nitro ProPanel AN16S-61-R5F4 (Ryzen AI 7 350/ RTX 5060/ 16GB/ 512GB/ Win 11),48890000,50990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming",AMD Ryzen™ AI 7 350,16 GB,512 GB,NVIDIA® GeForce RTX™ 5060 8GB GDDR7,16 inch,16 inch FHD+ (1920x1200),180 Hz,,ACER,LAP-ACER-NITRO-V-PRO-AN16S-61-R5F4,https://gearvn.com/products/laptop-gaming-acer-gaming-nitro-v-propanel-an16s-61-r5f4
"Laptop gaming Acer Nitro ProPanel AN16S-61-R7ZJ (Ryzen AI 7 350/ RTX 5060 8GB/ 16GB/ 512GB/ 16.0"" 2K+/ Win 11)",49990000,51990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","AMD Ryzen™ AI 7-350 (2.00GHz up to 5.00GHz, 16MB Cache)",16 GB,512 GB,NVIDIA® GeForce RTX™ 5060 8GB (TGP: 100W – MGP: 115W);Hỗ trợ NVIDIA Advanced Optimus,16 inch,2K+(2560x1600),180 Hz,4Cell 76Wh,ACER,LAP-ACER-NITRO-AN16S-61-R7ZJ,https://gearvn.com/products/laptop-gaming-acer-nitro-propanel-an16s-61-r7zj
"Laptop gaming Acer Nitro ProPanel ANV15-42-R5EF (Ryzen 5 7640HS/ RTX 4050 6GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",33590000,34990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","AMD Ryzen™ 5-7640HS (Up to 5.0 GHz / 22MB / 6 nhân, 12 luồng)",16 GB,512 GB,NVIDIA® GeForce RTX™ 4050 with 6GB of dedicated GDDR6 VRAM,15.6 inch,FHD (1920x1080),180 Hz,57 Wh 4-cell Li-ion batter;135W 5.5PHY Adapter,ACER,LAP-ACER-NITRO-V-ANV15-42-R5EF,https://gearvn.com/products/laptop-gaming-acer-nitro-propanel-anv15-42-r5ef
"Laptop gaming Acer Nitro ProPanel ANV15-42-R9EH (Ryzen 7 7445HS/ RTX 4050 6GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",34490000,38990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","AMD Ryzen™ 7 7445HS (Up to 4.7 GHz / 22MB / 6 nhân, 12 luồng)",16 GB,512 GB,NVIDIA® GeForce RTX™ 4050 with 6GB of dedicated GDDR6 VRAM,15.6 inch,FHD (1920x1080),180 Hz,57 Wh 4-cell Li-ion batter;135W 5.5PHY Adapter,ACER,LAP-ACER-NITRO-V-ANV15-42-R9EH,https://gearvn.com/products/laptop-gaming-acer-nitro-propanel-anv15-42-r9eh
"Laptop gaming Acer Nitro ProPanel ANV15-52-50RB (Core 5-210H/ RTX 4050 6GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",33490000,33990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel Core 5 210H (8 lõi / 12 luồng, Efficient-core Max Turbo Frequency: 3.6 GHz, Max Turbo Frequency: 4.8 GHz, Bộ nhớ đệm Intel Smart Cache: 12 MB)",16 GB,512 GB,"NVIDIA GeForce RTX 4050 6 GB GDDR6 VRAM, hỗ trợ 2560 NVIDIA CUDA Cores",15.6 inch,FHD (1920 x 1080),180 Hz,57 Wh 4-cell Li-ion batter;135W 5.5PHY Adapter,ACER,LAP-ACER-NITRO-V-ANV15-52-50RB,https://gearvn.com/products/laptop-gaming-acer-nitro-v-15-propanel-anv15-52-50rb
"Laptop gaming Acer Nitro ProPanel ANV15-52-556L (Core 5-210H/ RTX 5050 8GB/ 16GB/ 512GB/ 15.6"" FHD/ Win 11)",35990000,36990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming",Core 5-210H,8 GB,8GB,RTX 5050,15.6 inch,,,,ACER,LAP-ACER-NITRO-ANV15-52-556L,https://gearvn.com/products/laptop-gaming-acer-nitro-propanel-anv15-52-556l
"Laptop gaming ASUS TUF Gaming A14 FA401GM-RG013W (Ryzen AI 9 465/ RTX 5060 8GB/ 32GB/ 1TB/ 14"" WQXGA 165Hz/ Win 11)",53140000,58460000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming",AMD Ryzen AI 9 465 (10 lõi / 20 luồng / 2.0 GHz - 5.0 GHz / 34 MB Cache); AMD XDNA NPU up to 50 TOPS,32 GB,1024 GB,NVIDIA GeForce RTX 5060 8GB GDDR7,14 inch,2.5K (2560 x 1600),165 Hz,73WHrs 4-cell Li-ion; 200W adapter,ASUS,LAP-ASUS-TUF-A14-FA401GM-RG013W,https://gearvn.com/products/laptop-gaming-asus-tuf-gaming-a14-fa401gm-rg013w
"Laptop gaming Acer Nitro ProPanel AN16S-61-R9CN (Ryzen AI 7 350/ RTX 5070 8GB/ 16GB/ 512GB/ 16.0"" 2K+/ Win 11)",53990000,62090000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","AMD Ryzen AI 7 350 (8 lõi / 16 luồng, 2 GHz - 5.0 GHz, 8MB L2 Cache; 16MB L3 Cache) Up to 50 TOPS",16 GB,512 GB,"NVIDIA GeForce RTX 5070 8 GB GDDR7 VRAM, hỗ trợ 4608 NVIDIA CUDA Cores (798 AI GPU TOPs)",16 inch,2K+ (2560 x 1600),180 Hz,Li-ion Battery;76Wh 4-cell Li-ion battery;230W 5.5PHY Adapter,ACER,LAP-ACER-NITRO-S-AN16S-61-R9CN,https://gearvn.com/products/laptop-gaming-acer-nitro-s-ai-propanel-an16s-61-r9cn
"Laptop gaming Acer Nitro ProPanel ANV16S-61-R9ZV (Ryzen AI 7 350/ RTX 5060 8GB/ 32GB/ 1TB/ 16.0"" 2K+/ Win 11)",54990000,58690000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","AMD Ryzen AI 7-350 (8 lõi / 16 luồng, Up to 5 GHz, 8MB L2 Cache; 16MB L3 Cache)",32 GB,1024 GB,"NVIDIA GeForce RTX 5060 với 8 GB VRAM GDDR7 chuyên dụng, hỗ trợ 3328 lõi NVIDIA CUDA; 572 TOPS",16 inch,2K (2560 x 1600),180 Hz,Pin Li-ion 4 cell 76Wh;Bộ đổi nguồn AC 135W,ACER,LAP-ACER-NITRO-V-ANV16S-61-R9ZV,https://gearvn.com/products/laptop-gaming-acer-nitro-v-16s-propanel-anv16s-61-r9zv
"Laptop gaming Acer Predator Helios Neo 16 PHN16-I31-74MN (I7-14650HX/ RTX 5050/ 32GB/ 512GB/ 16.0"" FHD+/ Win 11)",54990000,64990000,Còn hàng,"Laptop Văn Phòng, Laptop Gaming","Intel® Core™ i7-14650HX (16 nhân, 24 luồng, turbo max 5,2GHz, 30mb)",32 GB,512 GB,NVIDIA® GeForce RTX™ 5050 with 8 GB of dedicated GDDR7 VRAM,16 inch,FHD+ (1920x1200),180 Hz,4,ACER,LAP-ACER-PRE-HELI-NEO-16-PHN16-I31-74MN,https://gearvn.com/products/laptop-gaming-acer-predator-helios-neo-16-phn16-i31-74mn
